ge,asembled,dissolved,number
1796,1801-01-22,1802-06-29,658
1802,1802-11-16,1806-10-24,658
1806,1806-12-15,1807-04-29,658
1807,1807-06-22,1812-09-29,658
1812,1812-11-24,1818-06-10,658
1818,1819-01-14,1820-02-29,658
1820,1820-04-21,1826-06-02,658
1826,1826-11-14,1830-07-24,658
1830,1830-10-26,1831-04-23,658
1831,1831-06-14,1832-12-03,658
1832,1833-01-29,1834-12-29,658
1835,1835-02-19,1837-07-17,658
1837,1837-11-15,1841-06-23,658
1841,1841-08-19,1847-07-23,658
1847,1847-11-18,1852-07-01,656
1852,1852-11-04,1857-03-21,654
1857,1857-04-30,1859-04-23,654
1859,1859-05-31,1865-07-06,654
1865,1866-02-01,1868-11-11,658
1868,1868-12-10,1874-01-26,658
1874,1874-03-05,1880-03-24,652
1880,1880-04-29,1885-11-18,652
1885,1886-01-12,1886-06-26,670
1886,1886-08-05,1892-06-28,670
1892,1892-08-04,1895-07-08,670
1895,1895-08-12,1900-09-17,670
1900,1900-12-03,1906-01-08,670
1906,1906-02-13,1910-01-10,670
1910,1910-02-15,1910-11-28,670
1910,1911-01-31,1918-11-25,670
1918,1919-02-04,1922-10-26,707
1922,1922-11-20,1923-11-16,615
1923,1924-01-08,1924-10-09,615
1924,1924-12-02,1929-05-10,615
1929,1929-06-25,1931-10-07,615
1931,1931-11-03,1935-10-25,615
1935,1935-11-26,1945-06-15,615
1945,1945-08-01,1950-02-03,640
1950,1950-03-01,1951-10-05,625
1951,1951-10-31,1955-05-06,625
1955,1955-06-07,1959-09-18,630
1959,1959-10-20,1964-09-25,630
1964,1964-10-27,1966-03-10,630
1966,1966-04-18,1970-05-29,630
1970,1970-06-29,1974-02-08,630
1974,1974-03-06,1974-09-20,635
1974,1974-10-22,1979-04-07,635
1979,1979-05-09,1983-05-13,635
1983,1983-06-15,1987-05-18,650
1987,1987-06-17,1992-03-16,650
1992,1992-04-27,1997-04-08,651
1997,1997-05-07,2001-05-14,659
2001,2001-06-13,2005-04-11,659
2005,2005-05-11,2010-04-12,646
2010,2010-05-18,2015-03-30,650
2015,2015-05-18,2017-05-03,650
2017,2017-06-13,2019-11-05,650
2019,2019-12-17,2024-05-30,650
2024,2024-07-09,,650
